userid,employer_number,creation_date,username,pwd,lvl,active,recbegindate,recenddate
1,670155,2022-08-24,bsackes0,zqAa66We,Medior,y,2022-08-24,9999-12-31
2,795298,2018-03-03,nbottell1,GPdggh1,Senior,y,2018-03-03,9999-12-31
3,421175,2020-12-09,nkearey2,p11fRwfP2SoM,Medior,y,2020-12-09,9999-12-31
4,615640,2021-07-21,lpurkins3,9pnZSNLs,Intern,y,2021-07-21,9999-12-31
5,158101,2021-03-29,bbassill4,lwnCr5RtfG,Junior,y,2021-03-29,9999-12-31
6,704414,2020-11-05,cphebee5,2X3h88kHi,Intern,y,2020-11-05,9999-12-31
7,142642,2021-06-18,mworsham6,b9HapGRrg2,Junior,y,2021-06-18,9999-12-31
8,628537,2021-04-06,asidery7,NaN,Medior,y,2021-04-06,9999-12-31
9,354921,2019-01-04,fkleszinski8,Am4MbD1Cx,Senior,y,2019-01-04,9999-12-31
10,171911,2018-06-30,achatteris9,W24dMI,Medior,y,2018-06-30,9999-12-31
11,814374,2022-03-02,spenticoota,SCfntBo6E2AC,Medior,y,2022-03-02,9999-12-31
12,556096,2022-01-11,jgosnellb,PXn5oO,Intern,y,2022-01-11,9999-12-31
13,377011,2020-06-09,rfaulksc,oFIaA1,Medior,y,2020-06-09,9999-12-31
14,844588,2019-06-09,rsindled,Z9zS4jG,Junior,y,2019-06-09,9999-12-31
15,676512,2019-08-03,mwriste,1sujUot2MvLN,Junior,y,2019-08-03,9999-12-31
16,574388,2021-06-08,klorrainef,69UyFfjscD,Medior,y,2021-06-08,9999-12-31
17,435418,2022-08-21,ngarriqueg,mlvco5ki3Q,Intern,y,2022-08-21,9999-12-31
18,108249,2021-02-23,eoliverash,DszQAMnUt,Junior,y,2021-02-23,9999-12-31
19,308973,2018-11-02,hcarwardinei,Z5uB6t6Lq3,Junior,y,2018-11-02,9999-12-31
20,488087,2022-05-02,smctaguej,NaN,Senior,y,2022-05-02,9999-12-31
21,883213,2020-12-08,kkaliszewskik,nv5L3B,Intern,y,2020-12-08,9999-12-31
22,403362,2020-02-27,jhuckfieldl,UELXlG8RRdDP,Intern,y,2020-02-27,9999-12-31
23,562951,2022-01-30,tmulcahym,vC9VDk,Senior,y,2022-01-30,9999-12-31
24,913980,2018-10-10,gmacinnesn,UCIPvxtGqp,Intern,y,2018-10-10,9999-12-31
25,689601,2020-05-09,amccrumo,YGVFjqyLfa1A,Senior,y,2020-05-09,9999-12-31
26,222597,2022-08-26,reayrsp,NaN,Junior,y,2022-08-26,9999-12-31
27,789203,2021-07-12,rwalklottq,ZFzCq5vJg94W,Intern,y,2021-07-12,9999-12-31
28,926881,2020-02-02,cellulr,tmXgYlXFGqUm,Junior,y,2020-02-02,9999-12-31
29,253280,2018-06-02,tlivards,cvqXxchtII,Junior,y,2018-06-02,9999-12-31
30,400579,2018-08-11,cgilstount,jRpIE6i,Medior,y,2018-08-11,9999-12-31
31,367041,2020-10-27,jshepherdsonu,2w4ybKB34L1d,Junior,y,2020-10-27,9999-12-31
32,779625,2022-06-17,rsnoddinv,BFTb60cSn,Senior,y,2022-06-17,9999-12-31
33,157555,2022-08-10,sreinw,NaN,Senior,y,2022-08-10,9999-12-31
34,939788,2022-03-08,edowyerx,sLBKmXAB8,Senior,y,2022-03-08,9999-12-31
35,835176,2018-11-05,cbabiny,T4ACmlHCvgud,Intern,y,2018-11-05,9999-12-31
36,560662,2020-12-18,mlindemanz,NaN,Medior,y,2020-12-18,9999-12-31
