userid,employer_number,creation_date,username,pwd,lvl,recbegindate
1,670155,2022-08-24,bsackes0,zqAa66We,Medior,2022-08-24
2,795298,2018-03-03,nbottell1,GPdggh1,Senior,2018-03-03
3,421175,2020-12-09,nkearey2,p11fRwfP2SoM,Medior,2020-12-09
4,615640,2021-07-21,lpurkins3,9pnZSNLs,Intern,2021-07-21
5,158101,2021-03-29,bbassill4,lwnCr5RtfG,Junior,2021-03-29
6,704414,2020-11-05,cphebee5,2X3h88kHi,Intern,2020-11-05
7,142642,2021-06-18,mworsham6,b9HapGRrg2,Junior,2021-06-18
8,628537,2021-04-06,asidery7,,Medior,2021-04-06
9,354921,2019-01-04,fkleszinski8,Am4MbD1Cx,Senior,2019-01-04
10,171911,2018-06-30,achatteris9,W24dMI,Medior,2018-06-30
11,814374,2022-03-02,spenticoota,SCfntBo6E2AC,Medior,2022-03-02
12,556096,2022-01-11,jgosnellb,PXn5oO,Intern,2022-01-11
13,377011,2020-06-09,rfaulksc,oFIaA1,Medior,2020-06-09
14,844588,2019-06-09,rsindled,Z9zS4jG,Junior,2019-06-09
15,676512,2019-08-03,mwriste,1sujUot2MvLN,Junior,2019-08-03
16,574388,2021-06-08,klorrainef,69UyFfjscD,Medior,2021-06-08
17,435418,2022-08-21,ngarriqueg,mlvco5ki3Q,Intern,2022-08-21
18,108249,2021-02-23,eoliverash,DszQAMnUt,Junior,2021-02-23
19,308973,2018-11-02,hcarwardinei,Z5uB6t6Lq3,Junior,2018-11-02
20,488087,2022-05-02,smctaguej,,Senior,2022-05-02
21,883213,2020-12-08,kkaliszewskik,nv5L3B,Intern,2020-12-08
22,403362,2020-02-27,jhuckfieldl,UELXlG8RRdDP,Intern,2020-02-27
23,562951,2022-01-30,tmulcahym,vC9VDk,Senior,2022-01-30
24,913980,2018-10-10,gmacinnesn,UCIPvxtGqp,Intern,2018-10-10
25,689601,2020-05-09,amccrumo,YGVFjqyLfa1A,Senior,2020-05-09
26,222597,2022-08-26,reayrsp,,Junior,2022-08-26
27,789203,2021-07-12,rwalklottq,ZFzCq5vJg94W,Intern,2021-07-12
28,926881,2020-02-02,cellulr,tmXgYlXFGqUm,Junior,2020-02-02
29,253280,2018-06-02,tlivards,cvqXxchtII,Junior,2018-06-02
30,400579,2018-08-11,cgilstount,jRpIE6i,Medior,2018-08-11
31,367041,2020-10-27,jshepherdsonu,2w4ybKB34L1d,Junior,2020-10-27
32,779625,2022-06-17,rsnoddinv,BFTb60cSn,Senior,2022-06-17
33,157555,2022-08-10,sreinw,,Senior,2022-08-10
34,939788,2022-03-08,edowyerx,sLBKmXAB8,Senior,2022-03-08
35,835176,2018-11-05,cbabiny,T4ACmlHCvgud,Intern,2018-11-05
36,560662,2020-12-18,mlindemanz,,Medior,2020-12-18
37,284020,2019-09-26,lpetrecz10,p3x7HpEjNbz,Senior,2019-09-26
38,131911,2019-06-11,jgoble11,SRfCX4,Intern,2019-06-11
39,926742,2021-10-09,kbattista12,242TDlXrC,Junior,2021-10-09
40,617804,2020-09-11,bprovost13,fCv0aXNbd,Medior,2020-09-11
41,482931,2018-02-25,gclementson14,khYk0g,Senior,2018-02-25
42,714916,2019-09-25,cposnett15,OmBXMm,Intern,2019-09-25
43,263819,2019-05-26,jvlahos16,CrvLe8,Junior,2019-05-26
44,238761,2020-02-17,cmurrum17,Spqzjevt,Senior,2020-02-17
45,732396,2019-07-13,jpolfer18,ALsG7F,Junior,2019-07-13
46,211132,2018-08-28,emoult19,7JSI9Ds8o,Intern,2018-08-28
47,870629,2021-12-19,kmorilla1a,QvdoMSb,Intern,2021-12-19
48,943108,2019-01-12,gleppingwell1b,JoZjZc,Intern,2019-01-12
49,815706,2021-10-16,gdenyukin1c,B2OGLQMP8,Junior,2021-10-16
50,604060,2022-08-15,qgrishaev1d,PnnQTVbjRcj,Intern,2022-08-15
51,471313,2018-05-09,jisakovitch1e,sL04nvoR3n,Junior,2018-05-09
52,709056,2018-06-01,brobun1f,tnYixVv,Senior,2018-06-01
53,334480,2020-03-18,ngriffoen1g,NRy3IhuUmh,Medior,2020-03-18
54,303357,2019-04-14,lgallo1h,5LZPh7Mu,Junior,2019-04-14
55,132427,2020-06-30,lkibbel1i,9o8DteFMNVb8,Intern,2020-06-30
56,431118,2022-07-31,imccreagh1j,oZseox78j8kc,Intern,2022-07-31
57,436002,2019-11-12,sminards1k,n0vOJ4,Medior,2019-11-12
58,270740,2019-10-28,sidwalevans1l,I9oGqh,Senior,2019-10-28
59,486172,2020-10-04,bharris1m,msC04OY,Medior,2020-10-04
60,709418,2021-12-10,tkohtler1n,sFeJjijlM,Intern,2021-12-10
61,569481,2018-11-16,imackaile1o,olk3SKIVj,Intern,2018-11-16
62,483894,2021-07-25,dlovell1p,,Medior,2021-07-25
63,381035,2018-12-11,biczokvitz1q,BQYXLO,Junior,2018-12-11
64,749614,2018-07-10,cshurlock1r,H2DcT3D,Medior,2018-07-10
65,380113,2021-03-04,ghamsher1s,G1H91pnb55qn,Junior,2021-03-04
66,259348,2022-02-15,sgarforth1t,XomgyyBS,Senior,2022-02-15
67,315010,2020-09-07,lbeedle1u,3XhQYP6udl,Junior,2020-09-07
68,925359,2018-07-18,egrahlmans1v,Bosl3JTY,Intern,2018-07-18
69,851075,2019-02-19,fnarrie1w,s5GWt8TOimp,Junior,2019-02-19
70,169268,2019-01-26,ifleisch1x,Rxdv70K0f8e,Medior,2019-01-26
71,329041,2020-11-01,gwiddicombe1y,JPOAAU6QsucI,Medior,2020-11-01
72,491516,2019-02-08,tlear1z,W3HH3LguA,Intern,2019-02-08
73,161188,2019-01-06,slancetter20,3jkarmxIn,Junior,2019-01-06
74,524703,2018-01-19,tsleeny21,13sba03,Junior,2018-01-19
75,954595,2019-08-30,lalty22,FGgeIa8C5,Medior,2019-08-30
76,652204,2022-01-24,treddan23,g5PyMJmX,Intern,2022-01-24
77,401504,2020-10-15,ksayce24,,Junior,2020-10-15
78,514618,2020-11-09,ckippins25,if0MKfjI2RK,Medior,2020-11-09
79,651059,2019-01-15,weverest26,8LYWoE,Medior,2019-01-15
80,745410,2022-07-01,bdeath27,hpJqkQ,Senior,2022-07-01
81,451182,2018-01-19,fbutchers28,96PeC7cd2yK1,Senior,2018-01-19
82,826972,2018-06-28,abrazil29,,Junior,2018-06-28
83,406128,2022-01-04,gjewitt2a,5JJfqLLq9It,Intern,2022-01-04
84,814414,2020-09-18,dbispham2b,oxtDVhVkwrw,Senior,2020-09-18
85,788228,2022-01-05,mmaestrini2c,asZAMj8M,Junior,2022-01-05
86,513980,2018-10-17,mjanosevic2d,Jx8HZQ5djr,Medior,2018-10-17
87,320494,2020-06-20,dmcrill2e,H2fT6W,Intern,2020-06-20
